Order_ID,Order_Date,Customer_ID,Region,Product_Category,Product_Name,Quantity,Unit_Price,Total_Sales
ORD001,10/1/2025,C090,Timur,Elektronik,Headphone,1,3466191,3466191
ORD002,7/4/2025,C102,Barat,Fashion,Sepatu,4,784955,3139820
ORD003,10/1/2025,C104,Tengah,Home & Living,Karpet,5,4050723,20253615
ORD004,13/06/2025,C109,TIMUR,Elektronik,Tablet,5,3693899,18469495
ORD005,3/28/2025,C076,Barat,Fashion,Sepatu,4,2246869,8987476
ORD006,9/5/2025,C030,Selatan,Home & Living,Lampu,3,1972079,5916237
ORD007,29/04/2025,C056,barat,Olahraga,Dumbbell,,4549481,9098962
ORD008,23/01/2025,C004,Tengah,Olahraga,Sepeda,1,575200,575200
ORD009,31/03/2025,C019,Tengah,Home & Living,Karpet,,4760943,4760943
ORD010,20/03/2025,C044,Selatan,Fashion,Sepatu,1,4401138,4401138
ORD011,4/2/2025,C058,Tengah,Elektronik,Smartphone,5,,16450335
ORD012,13/05/2025,C044,Barat,Olahraga,Sepeda,2,4425420,8850840
ORD013,12/1/2025,C025,Tengah,Home & Living,Meja,2,2751611,5503222
ORD014,22/05/2025,C094,Utara,Kecantikan,Parfum,1,2709425,2709425
ORD015,27/02/2025,C064,Tengah,Elektronik,,5,4127869,20639345
ORD016,3/4/2025,C025,TIMUR,Kecantikan,Skincare,1,3075315,3075315
ORD017,9/3/2025,C034,Selatan,Fashion,Kaos,1,3528985,3528985
ORD018,10/4/2025,C108,Utara,Kecantikan,Lipstick,1,3242579,3242579
ORD019,12/3/2025,C069,Barat,Kecantikan,Lipstick,2,,7741790
ORD020,26/02/2025,C091,Selatan,Olahraga,Dumbbell,3,,9455841
ORD021,1/17/2025,C087,Timur,Elektronik,Headphone,4,1959054,7836216
ORD022,5/16/2025,C057,Selatan,Fashion,Sepatu,3,4452108,13356324
ORD023,18/01/2025,C084,Utara,Kecantikan,Lipstick,2,4418003,8836006
ORD024,2/24/2025,C053,barat,Kecantikan,Lipstick,2,4187419,8374838
ORD025,22/04/2025,C066,Barat,Home & Living,Lampu,1,2118056,2118056
ORD026,11/5/2025,C006,Tengah,Home & Living,Meja,4,1936882,7747528
ORD027,1/4/2025,C014,Selatan,Fashion,Kaos,1,,1106786
ORD028,16/02/2025,C043,Barat,Elektronik,Headphone,1,1777643,1777643
ORD029,21/02/2025,C046,Utara,Elektronik,Smartphone,2,3888679,7777358
ORD030,6/2/2025,C008,Selatan,Fashion,Tas,2,,7336026
ORD031,23/05/2025,C034,Utara,Elektronik,Laptop,2,2466489,4932978
ORD032,9/1/2025,C083,Tengah,Kecantikan,,3,1142624,3427872
ORD033,27/01/2025,C093,Tengah,Elektronik,Tablet,2,2781661,5563322
ORD034,11/2/2025,C025,Tengah,Olahraga,Bola,3,4687437,
ORD035,19/01/2025,C102,Selatan,Fashion,Sepatu,2,900561,1801122
ORD008,13/06/2025,C120,TIMUR,Elektronik,Laptop,3,2456680,7370040
ORD037,3/2/2025,C011,Timur,Olahraga,,3,1562422,4687266
ORD038,10/4/2025,C082,barat,Kecantikan,Lipstick,4,1460527,
ORD039,19/06/2025,C064,Barat,Kecantikan,Parfum,3,,7986786
ORD040,21/05/2025,C111,Utara,Olahraga,Sepeda,2,1477355,2954710
ORD041,11/1/2025,C068,Barat,Kecantikan,Lipstick,1,1863509,1863509
ORD042,16/02/2025,C085,TIMUR,Elektronik,Tablet,4,3274050,13096200
ORD043,3/9/2025,C110,Barat,Fashion,Jaket,3,4329084,12987252
ORD044,17/06/2025,C048,barat,Kecantikan,,5,898349,4491745
ORD045,14/01/2025,C085,Selatan,Home & Living,Kursi,2,1469206,2938412
ORD046,10/5/2025,C102,Selatan,Elektronik,Smartphone,5,3268663,16343315
ORD047,16/06/2025,C089,Selatan,Olahraga,Treadmill,3,3541829,10625487
ORD048,16/06/2025,C084,Timur,Fashion,Jaket,1,1226948,1226948
ORD049,23/06/2025,C007,barat,Olahraga,Sepeda,4,1356664,5426656
ORD050,4/1/2025,C089,barat,Olahraga,Bola,1,2795706,2795706
ORD051,9/1/2025,C002,Tengah,Kecantikan,Masker Wajah,5,2911798,14558990
ORD052,19/01/2025,C066,Utara,Fashion,Jaket,3,4616696,13850088
